HCHO Reading,Location,Current Date,Next Date,Precipitation,Wind Direction,Latitude,Longitude,Elevation
5.81859056799875e-05,NUWARA ELIYA,2019-05-08,2019-05-09,0.02,254.69,6.9497,80.7891,681.44
0.0002151863254373,NUWARA ELIYA,2019-05-09,2019-05-10,0.01,256.19,6.9497,80.7891,681.44
0.0001520700378357,NUWARA ELIYA,2019-05-10,2019-05-11,0.0,231.0,6.9497,80.7891,681.44
8.896596670445717e-05,NUWARA ELIYA,2019-05-11,2019-05-12,0.02,232.88,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-05-12,2019-05-13,0.31,233.94,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-05-13,2019-05-14,0.13,238.56,6.9497,80.7891,681.44
0.0002790974952239,NUWARA ELIYA,2019-05-14,2019-05-15,0.04,249.31,6.9497,80.7891,681.44
0.0002221362230624,NUWARA ELIYA,2019-05-15,2019-05-16,0.03,250.75,6.9497,80.7891,681.44
0.0001343666372122,NUWARA ELIYA,2019-05-16,2019-05-17,3.51,241.75,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-05-17,2019-05-18,2.87,234.31,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-05-18,2019-05-19,2.85,228.06,6.9497,80.7891,681.44
0.0002702439378481,NUWARA ELIYA,2019-05-19,2019-05-20,2.77,226.06,6.9497,80.7891,681.44
8.031848961353504e-05,NUWARA ELIYA,2019-05-20,2019-05-21,1.55,225.56,6.9497,80.7891,681.44
0.0001222873862844,NUWARA ELIYA,2019-05-21,2019-05-22,0.41,227.62,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-05-22,2019-05-23,1.01,203.81,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-05-23,2019-05-24,4.16,209.5,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-05-24,2019-05-25,5.61,233.25,6.9497,80.7891,681.44
-5.063913101987346e-05,NUWARA ELIYA,2019-05-25,2019-05-26,3.45,241.44,6.9497,80.7891,681.44
3.6341561558326346e-05,NUWARA ELIYA,2019-05-26,2019-05-27,0.67,236.56,6.9497,80.7891,681.44
0.0001195644109596,NUWARA ELIYA,2019-05-27,2019-05-28,0.28,233.44,6.9497,80.7891,681.44
9.84078342114136e-05,NUWARA ELIYA,2019-05-28,2019-05-29,1.01,242.06,6.9497,80.7891,681.44
0.0001370126083911,NUWARA ELIYA,2019-05-29,2019-05-30,1.45,233.06,6.9497,80.7891,681.44
5.092769901518664e-05,NUWARA ELIYA,2019-05-30,2019-05-31,0.41,224.19,6.9497,80.7891,681.44
0.0003009155267739,NUWARA ELIYA,2019-05-31,2019-06-01,0.21,221.31,6.9497,80.7891,681.44
5.587982157832464e-05,NUWARA ELIYA,2019-06-01,2019-06-02,0.14,233.19,6.9497,80.7891,681.44
3.772535689224513e-05,NUWARA ELIYA,2019-06-02,2019-06-03,0.3,232.81,6.9497,80.7891,681.44
-1.7709887699493803e-05,NUWARA ELIYA,2019-06-03,2019-06-04,7.3,250.69,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-06-04,2019-06-05,7.59,250.06,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-06-05,2019-06-06,4.46,235.81,6.9497,80.7891,681.44
-7.581763929920271e-05,NUWARA ELIYA,2019-06-06,2019-06-07,2.83,225.75,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-06-07,2019-06-08,14.36,231.5,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-06-08,2019-06-09,3.61,233.12,6.9497,80.7891,681.44
0.0001042950827648,NUWARA ELIYA,2019-06-09,2019-06-10,2.49,228.44,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-06-10,2019-06-11,2.94,234.88,6.9497,80.7891,681.44
8.858704770824554e-05,NUWARA ELIYA,2019-06-11,2019-06-12,5.28,246.0,6.9497,80.7891,681.44
